bedrooms;bathrooms;sqft_living_media;sqft_lot_media;floors;view;condition;grade;sqft_living;sqft_lot;sqft_above;sqft_basement;yr_built;lifetime;sqft_living15;sqft_lot15;price/sqft_living;price/sqft_lot;price/sqft_above;price/sqft_basement;price/lifetime;price/sqft_living15;price/sqft_lot15;Caro
3;1;0;1;1;0;4;7;1430;15246;980;450;1961;59;1960;13068;164.34;15.41;239.8;522.22;3983.05;119.9;17.98;0
4;2.5;0;1;2;0;4;7;1700;7280;1700;0;1988;32;1950;7475;170.59;39.84;170.59;0;9062.5;148.72;38.8;0
3;2.5;0;1;2;0;3;7;1550;8134;1550;0;1991;29;1550;8134;172.9;32.95;172.9;0;9241.38;172.9;32.95;0
3;2;0;0;2;0;3;7;1510;3413;1510;0;1985;35;1570;3777;152.32;67.39;152.32;0;6571.43;146.5;60.89;0
4;1.75;0;1;1;0;4;7;1420;7500;1080;340;1981;39;1500;7260;189.08;35.8;248.61;789.71;6884.62;179;36.98;0
3;1.75;0;1;1.5;0;4;7;1280;7524;1280;0;1988;32;1500;7777;189.06;32.16;189.06;0;7562.5;161.33;31.12;0
4;2.5;0;1;2;0;3;8;2340;8548;2340;0;1993;27;1970;6818;166.67;45.62;166.67;0;14444.44;197.97;57.2;1
4;2.5;0;0;2;0;3;8;2030;4997;2030;0;2004;16;2095;5500;153.18;62.23;153.18;0;19434.38;148.42;56.54;1
3;1;0;1;1;0;3;7;1530;8498;1530;0;1959;61;1380;8498;96.41;17.36;96.41;0;2418.03;106.88;17.36;0
3;1.75;0;1;1;0;5;7;1410;9315;1410;0;1960;60;1630;8250;180.85;27.38;180.85;0;4250;156.44;30.91;0
3;2.5;0;0;2;0;3;8;1920;5322;1920;0;1999;21;1920;5000;168.75;60.88;168.75;0;15428.57;168.75;64.8;1
4;2.5;0;1;1;0;4;7;1860;6687;1220;640;1983;37;1860;6117;155.05;43.13;236.39;450.63;7794.59;155.05;47.15;0
5;2.5;1;1;1;0;4;8;2970;24759;1670;1300;1969;51;2100;21803;158.08;18.96;281.14;361.15;9205.88;223.57;21.53;1
4;2.5;0;1;2;0;4;7;1930;9643;1930;0;1992;28;1930;7525;163.21;32.67;163.21;0;11250;163.21;41.86;1
4;2.5;0;0;2;0;3;8;2230;5000;2230;0;2003;17;2230;6137;136.77;61;136.77;0;17941.18;136.77;49.7;1
4;2;0;1;1;0;5;7;2440;9600;1220;1220;1963;57;1370;9600;112.58;28.61;225.16;225.16;4819.3;200.51;28.61;0
4;2;0;1;1.5;0;3;7;1710;8288;1710;0;1970;50;1710;7200;123.39;25.46;123.39;0;4220;123.39;29.31;0
3;2;0;1;1;0;4;7;1180;7793;1180;0;1992;28;1720;7793;225.34;34.12;225.34;0;9496.43;154.59;34.12;0
3;2;0;1;1;0;3;7;1210;7136;1210;0;2003;17;1210;5765;222.31;37.7;222.31;0;15823.53;222.31;46.66;0
