ID;Pergunta;A;Nó A;B;Nó B
1;Área do sótom é menor ou igual à 1865 pés quadrados?;SIM;2;NÃO;3
2;Área construída habitável em 2015 é menor ou igual à 1990? ;SIM;4;NÃO;5
3;O preço por pé quadrado do sótom é menor ou igual à 136,56?;SIM;6;NÃO;7
4;O preço por pé quadrado da área construída habitável em 2015 era menor ou igual à 172,96?;SIM;8;NÃO;9
5;O preço por ano de existência do imóvel é menor ou igual à 7281,745?;SIM;10;NÃO;11
6;A área construída habitável em pés quadrados é menor ou igual à 2295?;SIM;12;NÃO;13
7;O preço por tempo de existência da casa é inferior o igual à 5162,785?;SIM;14;NÃO;15
8;A quantidade de banheiros é menor ou igual à 2,625?;SIM;16;NÃO;17
9;O tamanho da área construída habitável em 2015 era menor ou igual à 1605?;SIM;18;NÃO;19
10;O tempo de existência da casa é inferior ou igual à 58 anos e 6 meses?;SIM;20;NÃO;21
11;O preço por pé quadrado do terreno é menor ou igual à 49,155?;SIM;22;NÃO;23
12;NÓ FOLHA;É barato;;;
13;O preço por pé quadrado da área construída habitável é inferior ou igual à 53,46;SIM;24;NÃO;25
14;NÓ FOLHA;É barato;;;
15;A área construída habitável em pés quadrados é menor ou igual à 1925?;SIM;26;NÃO;27
16;O tamanho do sótom é menor ou igual à 1840 pés quadrados?;SIM;28;NÃO;29
17;NÓ FOLHA;É Caro;;;
18;O preço por pé quadrado do terreno é menor ou igual à 12,63?;SIM;30;NÃO;31
19;NÓ FOLHA;É Caro;;;
20;NÓ FOLHA;É barato;;;
21;NÓ FOLHA;É Caro;;;
22;NÓ FOLHA;É Caro;;;
23;A área construída habitável em 2015 era inferior ou igual à 2020 pés quadrados?;SIM;34;NÃO;35
24;NÓ FOLHA;É barato;;;
25;A área habitável construída em 2015 era inferior ou igual à 2165 pés quadrados?;SIM;36;NÃO;37
26;O preço por área construída habitável em pés quadrados é menor ou igual à 161,165?;SIM;38;NÃO;39
27;A casa possui 13,5 anos de existência ou menos?;SIM;40;NÃO;41
28;NÓ FOLHA;É barato;;;
29;O preço por área do sótom em pés quadrados é menor ou igual à 162,3?;SIM;42;NÃO;43
30;NÓ FOLHA;É Caro;;;
31;O preço pela área contruída (em pés quadrados) em 2015 era menor ou igual à 245,85?;SIM;44;NÃO;45
32;NÓ FOLHA;É barato;;;
33;NÓ FOLHA;É Caro;;;
34;NÓ FOLHA;É Caro;;;
35;NÓ FOLHA;É barato;;;
36;O preço por pé quadrado do terreno é inferior ou igual à 31,015?;SIM;46;NÃO;47
37;NÓ FOLHA;É Caro;;;
38;NÓ FOLHA;É barato;;;
39;NÓ FOLHA;É Caro;;;
40;A avaliação do imóvel é menor ou igual à 7,5?;SIM;48;NÃO;49
41;NÓ FOLHA;É Caro;;;
42;NÓ FOLHA;É barato;;;
43;NÓ FOLHA;É Caro;;;
44;NÓ FOLHA;É barato;;;
45;NÓ FOLHA;É Caro;;;
46;NÓ FOLHA;É Caro;;;
47;NÓ FOLHA;É barato;;;
48;NÓ FOLHA;É barato;;;
49;NÓ FOLHA;É Caro;;;
